"","ORIGEN","SECTOR","ENTIDAD_UM","SEXO","ENTIDAD_NAC","ENTIDAD_RES","MUNICIPIO_RES","TIPO_PACIENTE","FECHA_INGRESO","FECHA_SINTOMAS","FECHA_DEF","INTUBADO","NEUMONIA","EDAD","NACIONALIDAD","EMBARAZO","HABLA_LENGUA_INDIG","DIABETES","EPOC","ASMA","INMUSUPR","HIPERTENSION","OTRA_COM","CARDIOVASCULAR","OBESIDAD","RENAL_CRONICA","TABAQUISMO","OTRO_CASO","RESULTADO","MIGRANTE","PAIS_NACIONALIDAD","PAIS_ORIGEN","UCI"
"INMUSUPR",0.0278919107660398,0.371245027564394,-0.846037706184942,0.0356072013895567,-0.689903224702574,-0.886090969920892,-0.681298209308754,0.07172879819016,-0.58246805983482,-0.504470781879689,1105.52925466472,-6.81933819253621,-0.053435078090571,2.08525428278384,-0.000767323840455202,4.94785877871292,2.33858640855113,28.6638533630608,29.3141413552356,30.0449980734923,35.772168900031,29.1565271298943,32.1506338292576,30.0970447497332,26.8841657075341,29.4762882515633,28.5978347955965,5.52213787558876,-0.0663863440513987,-0.0261225337189628,-0.0105291131997599,-0.0133858320544437,-6.7769097782886
"HIPERTENSION",0.056507999555186,0.516187990264268,-0.659741139323141,0.0348922602993114,-0.572806650859934,-0.707234861129766,0.0919515394072954,0.0289521265860362,-0.618705173486038,-0.500800970542606,379.086503469037,-2.78424312488579,-0.0188482894120319,-0.526942785083077,-0.000411885377253182,4.82914621731981,2.4453024413696,29.0185865879215,28.2028204390689,28.4573193062824,29.1565271298943,33.1539614836811,28.8242158565928,29.0172896578916,26.3250765470792,28.425169186011,27.4497552188086,3.23096147407075,-0.0435439958054873,-0.036134686719446,-0.0187522402867992,-0.0279837088817687,-2.77085401592467
"OTRA_COM",-0.0118366869476771,0.626264064487291,-0.928002125707698,0.0518360668813285,-0.758406281048795,-0.967418720875893,1.70199776653466,0.115104483925788,-0.264319833326708,-0.189779719021115,1370.77970994069,-10.9865332165878,-0.100401787205686,2.3863482365366,-0.000973206839524078,6.37608274716403,3.1139234704349,28.2631690739078,28.9597150165346,29.2245319101301,32.1506338292576,28.8242158565928,46.5285051157495,30.7475116470664,27.0303228545637,29.5578464206967,28.6187438708073,3.41775305231399,-0.0775280744896668,-0.0513559656882936,-0.00568762436812835,-0.00740161934330512,-10.9333672905066
"CARDIOVASCULAR",0.0400097441224961,0.366983210094611,-0.546651430000559,0.0350459699098471,-0.474972913981807,-0.607133874554638,0.480286376563599,0.0675833659044573,-0.685768581941839,-0.629980717097099,1133.65868199571,-6.45826880762433,-0.0486475427980139,1.7812844843475,-0.000875507199643931,4.80551419553974,2.43663287520595,28.3302398558576,28.9456442671908,29.2986988741471,30.0970447497332,29.0172896578916,30.7475116470664,33.3790284656524,27.0533661955492,29.82780371511,28.7042270776326,5.58502104168662,-0.0661254188278802,-0.0101507625034122,-0.00816269561850849,-0.0179475854653274,-6.44356304788802
"OBESIDAD",0.0583418230346992,0.418608879190051,-0.600948302805305,0.0404549510585475,-0.472519865232748,-0.668594792483535,0.632389228378472,0.0717892835387907,-0.762320969803453,-0.723478830105382,1400.61189248469,-6.85667346440183,-0.056503565600157,1.44018002351234,-0.000535655720838797,5.26181588001424,2.21611106968988,25.464408154369,25.8632109846204,26.3424581267269,26.8841657075341,26.3250765470792,27.0303228545637,27.0533661955492,33.3081609329685,26.9330773904676,26.2114606371318,6.49217465887624,-0.0685211637620661,-0.0174678432944461,-0.0100427531601819,-0.00267697290821643,-6.84488291295344
"RENAL_CRONICA",0.0457831600928458,0.364970729097878,-0.546388807938081,0.0361297812087612,-0.456308690889972,-0.586788221792418,-0.150475969854865,0.0577429108190105,-0.798517907737092,-0.747071461946493,988.032975399926,-5.52411811040503,-0.0393218583051404,1.81734567798176,-0.00104028558494804,4.91011237943544,2.41148285579026,27.7366491205941,28.4135876404536,28.7995805235732,29.4762882515633,28.425169186011,29.5578464206967,29.82780371511,26.9330773904676,32.3419127444138,28.3927531784125,5.2775867846217,-0.069000686500768,0.0132929783404703,-0.00335735879725945,0.00314719534556405,-5.51055550365646
"TABAQUISMO",0.0456720534355308,0.265779493785812,-0.320536527792379,0.0245947290901748,-0.264919665322739,-0.362927701716767,-0.204168621519377,0.0650905055592549,-0.440213749823855,-0.376825808578872,1135.75876051934,-6.21998153624764,-0.0465018684009873,1.92663261084722,-0.00124066499025072,3.78808944360044,2.43120665425305,26.9505206638659,27.4818825481937,27.9614581631238,28.5978347955965,27.4497552188086,28.6187438708073,28.7042270776326,26.2114606371318,28.3927531784125,34.0743494989104,5.54320696993513,-0.0745299221069647,0.0251607421959225,-0.00135623942318509,0.00386164584515715,-6.20907732317966
"OTRO_CASO",-1.9466082606031,-101.348499927649,-5.76085765374021,-0.207268887647038,-9.81589039820298,-5.46518628153054,34.8158543756655,4.14175041884443,-108.575079220926,-110.054580170506,47771.2012808404,-393.578436115665,-1.56070491098177,65.8155541731297,-0.141638347712364,-21.2491089794936,-72.1278287618731,3.70975928467743,5.45081634961245,5.56197983344726,5.52213787558876,3.23096147407075,3.41775305231399,5.58502104168662,6.49217465887624,5.2775867846217,5.54320696993513,2053.38648772927,-1.83506663532885,11.2196083628258,2.30307825620224,2.30729898408834,-393.699833919478
"RESULTADO",0.0137678258977657,0.153394253639356,0.0925868028779713,-0.0165507134264365,0.0331653584323132,0.0624716130471986,0.453674858094427,-0.0390284883783758,2.28805150714354,2.48227875925849,-1024.59297609436,3.70859514710215,0.0342919339987664,-1.15485266521642,0.000754651096553433,-1.58022353895975,0.266782451742696,-0.0422498836419947,-0.0590619933237065,-0.0665680626056097,-0.0663863440513987,-0.0435439958054873,-0.0775280744896668,-0.0661254188278802,-0.0685211637620661,-0.069000686500768,-0.0745299221069647,-1.83506663532885,0.440463526476966,-0.0683008104867506,-0.0118923221792093,-0.0146057529383936,3.70662951499212
"MIGRANTE",-0.0233608281946488,-0.674960292472896,-0.0417372864501824,-0.0268083039390784,-35.9380081168528,0.0754848851888425,2.01771948379387,0.0372257085448733,0.450978201428168,0.253616750550984,564.832737759047,-3.53007817921981,-0.027016846831506,1.54740054042294,-0.430229778700279,-2.51896964723571,-0.798380914567314,-0.0381408024948574,-0.0156565951111778,-0.00789856518099838,-0.0261225337189628,-0.036134686719446,-0.0513559656882936,-0.0101507625034122,-0.0174678432944461,0.0132929783404703,0.0251607421959225,11.2196083628258,-0.0683008104867506,41.9889510336076,6.62155942442724,8.69413322944263,-3.52773047896596
"PAIS_NACIONALIDAD",-0.01141335174646,-0.136277079289962,0.0972167437908068,-0.00483520232322176,-9.67103578084512,0.128007060612609,0.166002023798543,0.0104615789183471,1.9155970486198,1.91178385102019,177.009418146191,-0.993072241723841,-0.00877234969599907,0.341273811577965,-0.115776243643407,-0.454749447641908,-0.0382041313459784,-0.0189959025148563,-0.00902979645145782,-0.00722409037435218,-0.0105291131997599,-0.0187522402867992,-0.00568762436812835,-0.00816269561850849,-0.0100427531601819,-0.00335735879725945,-0.00135623942318509,2.30307825620224,-0.0118923221792093,6.62155942442724,4.97295335302584,1.90349778208038,-0.992348354127049
"PAIS_ORIGEN",-0.0119767503867119,-0.168716334056059,-0.0763062237015621,-0.00619868361372165,-7.38980544363482,-0.046368699542451,0.0108300057571274,0.00808047314215575,0.122174457375608,0.0802813267175802,92.3396314213695,-0.766448866421734,-0.00546432686201137,0.326625265965064,-0.0884666270405294,-0.570399561323985,0.0158115649199745,-0.00155045341059695,-0.0190071208453219,-0.0182033340196889,-0.0133858320544437,-0.0279837088817687,-0.00740161934330512,-0.0179475854653274,-0.00267697290821643,0.00314719534556405,0.00386164584515715,2.30729898408834,-0.0146057529383936,8.69413322944263,1.90349778208038,6.19554185190707,-0.765974082291146
"UCI",4.33460747237579,29.938549179118,-3.08804965057594,-2.06118314603498,-5.93238151097621,-4.03244728266819,-87.2866465826957,-17.0587932976188,65.6537502864136,69.3284518595687,-145879.97966114,1622.34929561695,9.81556156848776,-209.209035911061,0.0592128867094258,-194.767415886294,14.3002177371008,-3.39773552847644,-5.44537646098492,-6.33605758788437,-6.7769097782886,-2.77085401592467,-10.9333672905066,-6.44356304788802,-6.84488291295344,-5.51055550365646,-6.20907732317966,-393.699833919478,3.70662951499212,-3.52773047896596,-0.992348354127049,-0.765974082291146,1622.5001518794
